Title	URL	Skill level	Software Development Model (SDM)	SDM requirement level	Scope	FAIR4RS	Argo FAIR tools	Project Aspects
The software documentation includes the definition of the execution environment supported	https://github.com/euroargodev/software_guidelines/issues/44	3 - Intermediate	Open-Source	2 - Recommended	General guideline	Reusable		Documentation
The software documentation includes the list of changes to the codebase between each software releases	https://github.com/euroargodev/software_guidelines/issues/45	4 - Advanced	Open-Source	2 - Recommended	General guideline	Reusable		Documentation
The software documentation includes the list of operating systems supported	https://github.com/euroargodev/software_guidelines/issues/46	3 - Intermediate	Open-Source	1 - Required	General guideline	Reusable		Documentation
The software documentation includes usage guidelines and examples	https://github.com/euroargodev/software_guidelines/issues/47	2 - Beginner	Open-Source	2 - Recommended	General guideline	Reusable		Documentation
The software documentation is hosted on the web	https://github.com/euroargodev/software_guidelines/issues/48	3 - Intermediate	Open-Source	1 - Required	General guideline	Findable		Documentation
The software ensures timely distribution of updates	https://github.com/euroargodev/software_guidelines/issues/51	3 - Intermediate	Open-Source	2 - Recommended	General guideline			Codebase
The software has a unique persistent identifier (e.g. DOI from paper or Zenodo, SWHID)	https://github.com/euroargodev/software_guidelines/issues/49	3 - Intermediate	Open-Source	2 - Recommended	General guideline	Findable		Project content
The software has been presented to the Argo community (e.g. Data Management Team meeting)	https://github.com/euroargodev/software_guidelines/issues/50	2 - Beginner	Open-Source	3 - Best effort	Argo specific			Argo compliance
The software includes continuous integration and unit testing	https://github.com/euroargodev/software_guidelines/issues/52	3 - Intermediate	Open-Source	2 - Recommended	General guideline	Reusable		Codebase
The software is distributed via well-known services (e.g., pip or conda for Python)	https://github.com/euroargodev/software_guidelines/issues/53	3 - Intermediate	Open-Source	2 - Recommended	General guideline			Project location
The software is registered in an Argo software registry (e.g. AST and Argo-BGC dedicated webpages)	https://github.com/euroargodev/software_guidelines/issues/54	3 - Intermediate	Open-Source	2 - Recommended	Argo specific	Findable		Project location
The software is registered in at least one public software registry (e.g., Zenodo, Seanoe, Research Software Directory)	https://github.com/euroargodev/software_guidelines/issues/55	3 - Intermediate	Open-Source	2 - Recommended	General guideline	Findable		Project location
The software is released under an open-source license (include an open-source LICENSE file with the license content to the codebase)	https://github.com/euroargodev/software_guidelines/issues/56	1 - Novice	Open-Source	1 - Required	General guideline	Accessible		Project content
The software provides a clear description of its dependencies	https://github.com/euroargodev/software_guidelines/issues/57	2 - Beginner	Open-Source	1 - Required	General guideline	Interoperable		Documentation
The software uses a programming language adopted within the Argo community (e.g. Matlab, Python, R, Java, Julia)	https://github.com/euroargodev/software_guidelines/issues/58	1 - Novice	Open-Source	2 - Recommended	Argo specific	Reusable		Codebase
The software uses an open-source programming language (https://en.wikipedia.org/wiki/List_of_open-source_programming_languages)	https://github.com/euroargodev/software_guidelines/issues/59	1 - Novice	Open-Source	2 - Recommended	General guideline	Interoperable		Codebase
The software uses the Argo vocabulary server (to enforce conventions as defined in Argo reference tables)	https://github.com/euroargodev/software_guidelines/issues/60	3 - Intermediate	Open-Source	2 - Recommended	Argo specific		Interoperable	Argo compliance
There is a published paper associated with the software (e.g. JOSS article)	https://github.com/euroargodev/software_guidelines/issues/61	5 - Expert	Open-Source	2 - Recommended	General guideline			Documentation
Unit tests cover multiple operating systems	https://github.com/euroargodev/software_guidelines/issues/62	4 - Advanced	Open-Source	2 - Recommended	General guideline	Reusable		Codebase
User meetings or workshops are held and communicated within the Argo community	https://github.com/euroargodev/software_guidelines/issues/63	5 - Expert	Collaborative	3 - Best effort	Argo specific			Argo compliance
